business_status,formatted_address,name,opening_hours,place_id,plus_code,rating,types,user_ratings_total,permanently_closed,tag,price_level,results,lat,long
CLOSED_TEMPORARILY,"Goa 403006, India","Santa Barbara Chapel, Chimbel",-1,ChIJ18r4YxS_vzsRTW_Me75mArQ,"{'compound_code': 'FVPC+PJ Tiswadi, Goa', 'global_code': '7J7MFVPC+PJ'}",5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",1,TRUE,church,-1,-1,15.4868303,73.8715935
CLOSED_TEMPORARILY,"Fr. Agnel’s Church, Goa Velha, Goa 403402, India",Our Lady Of Pilar Church,-1,ChIJc4cPWB-5vzsRB5tSVBRmjlw,"{'compound_code': 'CVRV+M8 Goa Velha, Goa', 'global_code': '7J7MCVRV+M8'}",4.8,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",284,TRUE,church,-1,-1,15.4417474,73.8933282
CLOSED_TEMPORARILY,"Pilar Old Goa Rd, Fr. Agnel Church, Goa Velha, Goa 403402, India",Pilar Monastery Church,-1,ChIJNRs6M6a5vzsRoLXKUJqRjpc,"{'compound_code': 'CVVW+22 Goa Velha, Goa', 'global_code': '7J7MCVVW+22'}",5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",23,TRUE,church,-1,-1,15.4425424,73.8950025
CLOSED_TEMPORARILY,"Curca, Goa 403108, India",Our Lady of the Rosary Church,-1,ChIJgeZLWs-4vzsRf5xARtnZds0,"{'compound_code': 'FV2C+MR Curca, Goa', 'global_code': '7J7MFV2C+MR'}",4.5,"['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",54,TRUE,church,-1,-1,15.4517266,73.8720281
CLOSED_TEMPORARILY,"Bambolim, Goa 403108, India",Our Lady of Belém Church,-1,ChIJwV4bBrS4vzsRPqy3OwtDDoI,"{'compound_code': 'FV45+PX Bambolim, Goa', 'global_code': '7J7MFV45+PX'}",4.5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",16,TRUE,church,-1,-1,15.456758,73.8599252
CLOSED_TEMPORARILY,"saude, Chorao, Goa 403102, India",Nossa Senhora De Saude Chapel,-1,ChIJ6RBreSy-vzsR3c_B1ebi8NQ,"{'compound_code': 'GVXR+JW Chorao, Goa', 'global_code': '7J7MGVXR+JW'}",4.3,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",18,TRUE,church,-1,-1,15.5490948,73.8923639
CLOSED_TEMPORARILY,"Ponda - Apewal - Querim - Savoi - Verem – Betqui - Marcela, Orgao, Goa 403107, India",Holy Family Church Marcela,-1,ChIJQXA3rsu9vzsR0da5MOz71J0,"{'compound_code': 'GX94+4C Orgao, Goa', 'global_code': '7J7MGX94+4C'}",4.5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",58,TRUE,church,-1,-1,15.5178439,73.9560271
CLOSED_TEMPORARILY,"Salvador Do Mundo Chruch :, Saviour of the World :, Salvador Do Mundo, Bardez, Goa 403101, India",Salvador do Mundo Church,-1,ChIJTWfiWOy_vzsRXfQgIH9fVsk,"{'compound_code': 'GVM5+32 Donwaddo, Salvador Do Mundo, Bardez, Goa', 'global_code': '7J7MGVM5+32'}",4.4,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",70,TRUE,church,-1,-1,15.532638,73.857521
CLOSED_TEMPORARILY,"Church Road, Belbhat, Chorao, Goa 403102, India",St Bartholomew's Church,-1,ChIJ8UYY29C_vzsRmc1yVq56HFc,"{'compound_code': 'GVWH+XQ Chorao, Goa', 'global_code': '7J7MGVWH+XQ'}",4.6,"['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",65,TRUE,church,-1,-1,15.5474824,73.8794947
CLOSED_TEMPORARILY,"Goltim, Goa 403403, India",Juzuchi Doya Chakun,-1,ChIJo1HGuUW-vzsRju9Bz4vgluY,"{'compound_code': 'GWG3+84 Goltim, Goa', 'global_code': '7J7MGWG3+84'}",4.2,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",9,TRUE,church,-1,-1,15.5257622,73.9028352
