business_status,formatted_address,name,permanently_closed,place_id,plus_code,rating,types,user_ratings_total,opening_hours,tag,price_level,lat,long
CLOSED_TEMPORARILY,"Kongar Khurd A, Telangana 501510, India",Wonderla,TRUE,ChIJeajJ_1ykyzsRRPrzBvhMP2s,"{'compound_code': '6G9H+5P Kongar Khurd A, Telangana', 'global_code': '7J9W6G9H+5P'}",4.4,"['amusement_park', 'point_of_interest', 'establishment']",313,-1,amusement_park,-1,17.2179059,78.5293176
OPERATIONAL,"Ajwa - Nimeta Road, Ajwa Compound, Rayan Talavadi, Vadodara, Gujarat 390019, India","Ajwa Fun World, Ajwa Water Park, Ajwa Resort",-1,ChIJ-0JzUJzRXzkRkALcsaEoPaA,"{'compound_code': '9997+W2 Vadodara, Gujarat', 'global_code': '7JJM9997+W2'}",3.5,"['amusement_park', 'lodging', 'point_of_interest', 'establishment']",1228,{'open_now': True},amusement_park,-1,22.3697858,73.3625214
OPERATIONAL,"Highway, Behind Kiran Motors, Sanand - Sarkhej Rd, Sarkhej, Sarkhej-Okaf, Gujarat 382210, India",Maniar's Wonderland,-1,ChIJqQvWWO2aXjkREEHMS8yxe7g,"{'compound_code': 'XFPP+52 Sarkhej-Okaf, Gujarat', 'global_code': '7JJJXFPP+52'}",3.5,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",1831,{'open_now': True},amusement_park,-1,22.9854515,72.4850231
CLOSED_TEMPORARILY,"Tikuji-ni-wadi Road, Opp. Tata Power House, Manpada, Chitalsar, Thane, Maharashtra 400607, India",Tikuji-ni-Wadi,TRUE,ChIJRVR9ciHP5zsR2DwBYR4jA0w,"{'compound_code': '6XQ8+5Q Thane, Maharashtra', 'global_code': '7JFJ6XQ8+5Q'}",3.9,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",8332,-1,amusement_park,-1,19.2379877,72.9668785
CLOSED_TEMPORARILY,"No. 30 31, State Highway 92 near Lonavla, Sangdewadi, Khopoli, Maharashtra 410203, India",Imagicaa,TRUE,ChIJYWXFp2XAwjsRe2nbd5cxhU0,"{'compound_code': 'Q78J+X7 Khopoli, Maharashtra', 'global_code': '7JCMQ78J+X7'}",4.4,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",64064,-1,amusement_park,-1,18.767387,73.280652
OPERATIONAL,"Jalandhar - Nakodar Rd, Wadala Chowk, After, Jalandhar, Punjab 144001, India","Wonderland, Jalandhar",-1,ChIJWecu7E9bGjkRBKdPQzxpZP4,"{'compound_code': '7G7M+54 Jalandhar, Punjab', 'global_code': '8J3Q7G7M+54'}",4.3,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",5105,{'open_now': True},amusement_park,-1,31.2628896,75.5328123
CLOSED_TEMPORARILY,"opposite milind college of science gate,beside hotel maurya, between little flower school to dr.Bamu, University Rd, Aurangabad, Maharashtra 431002, India",Chhawni Eidgah Maidan,TRUE,ChIJw_PGizqY2zsR_2V6Ajk2ijI,"{'compound_code': 'V8Q4+VX Aurangabad, Maharashtra', 'global_code': '7JFQV8Q4+VX'}",4.2,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",52,-1,campground,-1,19.8896949,75.3074012
CLOSED_TEMPORARILY,"fauji dhaba, Aurangabad, Maharashtra, India",Aditya Krushi Parytan Kendra,TRUE,ChIJG4VooVeX2zsR8TF64kOMgOo,"{'compound_code': 'W762+XW Aurangabad, Maharashtra', 'global_code': '7JFQW762+XW'}",4,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",72,-1,campground,-1,19.9124408,75.2523639
OPERATIONAL,"265, Bhaskara A, Anuvihar Complex, Samarth Nagar, Aurangabad, Maharashtra 431001, India",BaseCamp - Backpackers Campsite,-1,ChIJO8Sw-9yZ2zsR6VXZI2ttb8k,"{'compound_code': 'X65F+JC Aurangabad, Maharashtra', 'global_code': '7JFQX65F+JC'}",5,"['campground', 'lodging', 'park', 'point_of_interest', 'store', 'establishment']",5,{'open_now': True},campground,-1,19.9590819,75.2235784
CLOSED_TEMPORARILY,"Mangalam lawns, Beed Bypass Rd, near MIT college, Aurangabad, Maharashtra 431001, India",Holi festival,TRUE,ChIJITAVuO6Z2zsRFv6KlmkpFxs,"{'compound_code': 'R9R7+JG Aurangabad, Maharashtra', 'global_code': '7JFQR9R7+JG'}",0,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",0,-1,campground,-1,19.841525,75.3638349
OPERATIONAL,"Hiranya Resorts, Vitkheda - Ellora Rd, adjacent to Daulatabad lake, Aurangabad, Maharashtra 431002, India",Hiranya Resorts - Full of Nature,-1,ChIJOSC-KBaR2zsRtUCAHnX2A_Q,"{'compound_code': 'X65C+FX Aurangabad, Maharashtra', 'global_code': '7JFQX65C+FX'}",4.1,"['campground', 'lodging', 'park', 'restaurant', 'food', 'health', 'point_of_interest', 'establishment']",1325,{'open_now': True},campground,-1,19.9587337,75.222379
