business_status,formatted_address,name,opening_hours,place_id,plus_code,rating,types,user_ratings_total,permanently_closed,tag,price_level,lat,long
OPERATIONAL,"Ground Metro Walk Mall Kiosk No. 2 Near Rithala Metro Station Rohini, Sector 10, New Delhi, Delhi 110085, India",MR. CHEF INTERNATIONAL,{'open_now': True},ChIJ7akEvkgBDTkRNYYH0oxJ2qY,"{'compound_code': 'P4F7+G8 Rohini, New Delhi, Delhi', 'global_code': '7JWVP4F7+G8'}",3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",8900,-1,amusement_park,-1,28.7237619,77.1133111
CLOSED_TEMPORARILY,"18, DG-II Rd, Pocket DG 2, Vikaspuri, New Delhi, Delhi 110018, India",trusted companion for travel,-1,ChIJdyN5LuYEDTkRYSTcxDBfWjg,"{'compound_code': 'J3P8+3X Vikaspuri, New Delhi, Delhi', 'global_code': '7JWVJ3P8+3X'}",0,"['campground', 'lodging', 'park', 'health', 'point_of_interest', 'establishment']",0,TRUE,campground,-1,28.6351385,77.0673924
CLOSED_TEMPORARILY,"Himalayan Glamping Retreat, Holistic Hospitality Services Private Limited RZ-88, 4th Floor, Palam Vihar, Sector 6 Dwarka, Dwarka, New Delhi, Delhi 110075, India",Hotel Company in India,-1,ChIJYwE0JzsbDTkR8GbMvgrRmww,"{'compound_code': 'H3V9+VJ Dwarka, New Delhi, Delhi', 'global_code': '7JWVH3V9+VJ'}",5,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",2,TRUE,campground,-1,28.5946859,77.0690167
CLOSED_TEMPORARILY,"Jaunti, Delhi, 110081, India",Mcd Park,-1,ChIJl2r5KLMJDTkRpBxh6oXqfGI,"{'compound_code': 'QX27+9F Jaunti, Delhi', 'global_code': '7JWRQX27+9F'}",4.1,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",36,TRUE,campground,-1,28.750933,76.9637376
CLOSED_TEMPORARILY,"17, Malviya Nagar, New Delhi, Delhi 110017, India",Krayon Holidays,-1,ChIJu0ui_R7iDDkRyIXr4OegKIs,"{'compound_code': 'G6M7+VR New Delhi, Delhi', 'global_code': '7JWVG6M7+VR'}",3.4,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",7,TRUE,campground,-1,28.5346964,77.2145477
CLOSED_TEMPORARILY,"86, Janpath Ln, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001, India",NASA Adventure,-1,ChIJtxkMCjX9DDkR7seH9LUolVc,"{'compound_code': 'J6HC+G5 Connaught Place, New Delhi, Delhi', 'global_code': '7JWVJ6HC+G5'}",4.5,"['campground', 'travel_agency', 'lodging', 'park', 'university', 'point_of_interest', 'establishment']",6,TRUE,campground,-1,28.6287628,77.2203934
CLOSED_TEMPORARILY,"mahavir enclave, palam dabri road, New Delhi, Delhi 110045, India",KINNAUR LAHAUL SPITI,-1,ChIJtT0EmEcbDTkRBYx9OpSSgEs,"{'compound_code': 'H3WJ+M7 New Delhi, Delhi', 'global_code': '7JWVH3WJ+M7'}",3.8,"['campground', 'travel_agency', 'lodging', 'park', 'point_of_interest', 'establishment']",8,TRUE,campground,-1,28.5966833,77.0806845
CLOSED_TEMPORARILY,"B-6/1, Ankur Vihar, DLF Ankur Vihar, Ghaziabad, Delhi 201102, India",Narayana Holidays Rishikesh,-1,ChIJC8GI8r7-DDkRFnV_hBoTuQQ,"{'compound_code': 'P7Q8+CR DLF Ankur Vihar, Ghaziabad, Uttar Pradesh', 'global_code': '7JWVP7Q8+CR'}",3.9,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",36,TRUE,campground,-1,28.7386198,77.2670439
OPERATIONAL,"Manger - Dhauj Rd, Mangar, Haryana 121004, India",Camp Wild Dhauj at Aravali Valley,{'open_now': True},ChIJqZXP9KMgDTkRT7wgNIRfpc4,"{'compound_code': '956P+WP Mangar, Haryana', 'global_code': '7JWV956P+WP'}",3.9,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",785,-1,campground,-1,28.362267,77.1868066
CLOSED_TEMPORARILY,"A44, Mahendru Enclave, GT Karnal Road, Delhi, 110033, India",Bindass Holidays Pvt. Ltd.,-1,ChIJTT6HyxoCDTkRd8bdDMctpls,"{'compound_code': 'P52M+R4 Delhi', 'global_code': '7JWVP52M+R4'}",2,"['campground', 'travel_agency', 'lodging', 'park', 'point_of_interest', 'establishment']",10,TRUE,campground,-1,28.702106,77.182817
