business_status,formatted_address,name,permanently_closed,place_id,plus_code,rating,types,user_ratings_total,opening_hours,tag,price_level,results,lat,long
CLOSED_TEMPORARILY,"Tonk Rd, near mazar, Taron Ki Koont, Jaipur, Rajasthan 302029, India",Tree House Sweets & Restaurants,TRUE,ChIJf4a_dfK1bTkRZA2NZw658Cg,"{'compound_code': 'RQMV+PJ Taron Ki Koont, Jaipur, Rajasthan', 'global_code': '7JRQRQMV+PJ'}",4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",45,-1,restaurant,-1,-1,26.8343136,75.7940987
OPERATIONAL,"Plot No 726 Morija House, Mishra Rajaji Ka Rasta, Jaipur, Rajasthan 302001, India",Old street restaurant,-1,ChIJu7XDNpK3bTkRL8Cz46Wn10g,"{'compound_code': 'WR98+F3 Jaipur, Rajasthan', 'global_code': '7JRQWR98+F3'}",4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",27,{'open_now': True},restaurant,-1,-1,26.918741,75.815127
OPERATIONAL,"Shop No.273, Choura Rasta, Pink City, Bapu Bazar, Biseswarji, Jaipur, Rajasthan 302003, India",Samrat Restaurant,-1,ChIJda0wLLO2bTkRc3FVR8w45JE,"{'compound_code': 'WRCC+FV Biseswarji, Jaipur, Rajasthan', 'global_code': '7JRQWRCC+FV'}",4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",785,{'open_now': True},restaurant,1,-1,26.921231,75.8221565
OPERATIONAL,"80, Madhyam Marg, Sector 21, Mansarovar, Jaipur, Rajasthan 302020, India",Swaad Restaurant And Tiffin Center,-1,ChIJr-pKOUK0bTkRaf01hEdWtOM,"{'compound_code': 'VQG3+W4 Mansarovar, Jaipur, Rajasthan', 'global_code': '7JRQVQG3+W4'}",4.7,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",107,{'open_now': True},restaurant,-1,-1,26.8773196,75.7527896
OPERATIONAL,"Streets Food Truck, 145-146, Kings Rd, near Ajmera Garden, Ajmera Garden, Shanti Nagar, DCM, Jaipur, Rajasthan 302019, India",Dosa and more,-1,ChIJ5755dQ21bTkREP13qavY7YM,"{'compound_code': 'VQV2+W9 Jaipur, Rajasthan', 'global_code': '7JRQVQV2+W9'}",4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",43,{'open_now': True},restaurant,-1,-1,26.8948362,75.7509675
OPERATIONAL,"C/11, 3rd Floor, Prithviraj Rd, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India","Little Italy Restaurant, Jaipur",-1,ChIJKXwKvq22bTkRAGQgNuOau-I,"{'compound_code': 'WQ6X+8C Ashok Nagar, Jaipur, Rajasthan', 'global_code': '7JRQWQ6X+8C'}",4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",1444,{'open_now': True},restaurant,3,-1,26.9108494,75.7986025
OPERATIONAL,"Near JECC, Tonk Rd, Sitapura, Jaipur, Rajasthan 302033, India",The CaveLand Restaurant,-1,ChIJmxmUNpvJbTkR3n9DVAo1boI,"{'compound_code': 'QRR9+3J Sitapura, Jaipur, Rajasthan', 'global_code': '7JRQQRR9+3J'}",4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",195,{'open_now': True},restaurant,-1,-1,26.7902264,75.8191237
OPERATIONAL,"E-54, near Agarwal Caterers, Shastri Nagar, Jaipur, Rajasthan 302032, India",Tipsy Restaurant,-1,ChIJIZK9cuezbTkRkns5Vq9WXd4,"{'compound_code': 'WQRX+8G Shastri Nagar, Jaipur, Rajasthan', 'global_code': '7JRQWQRX+8G'}",4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",1542,{'open_now': True},restaurant,2,-1,26.9408068,75.7988556
OPERATIONAL,"Shop 98, Ram Gali 1, Panchwati Circle, Sector 1, Raja Park, Jaipur, Rajasthan 302004, India",Pritam Family Restaurant,-1,ChIJ8YNrTuu2bTkRhi0tIsxZTeQ,"{'compound_code': 'VRVJ+Q6 Jaipur, Rajasthan', 'global_code': '7JRQVRVJ+Q6'}",4,"['restaurant', 'food', 'point_of_interest', 'establishment']",146,{'open_now': True},restaurant,2,-1,26.8943845,75.8306156
OPERATIONAL,"G-3,B-2/530, Chitrakoot, Jaipur, Rajasthan 302021, India",The Banna's Recipes,-1,ChIJkSerNZy1bTkR11dGi6b3XyU,"{'compound_code': 'WP2P+R4 Chitrakoot, Jaipur, Rajasthan', 'global_code': '7JRQWP2P+R4'}",4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",38,{'open_now': True},restaurant,-1,-1,26.902118,75.735259
OPERATIONAL,"Hotel OM Tower, M I Road, Church Road, Jaipur, Rajasthan 302001, India",Revolving Restaurant,-1,ChIJXSKhQQe0bTkRxOkGmC3Ety4,"{'compound_code': 'WQ9X+5X Jaipur, Rajasthan', 'global_code': '7JRQWQ9X+5X'}",3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",162,{'open_now': True},restaurant,3,-1,26.917919,75.799985
OPERATIONAL,"F 163, Chaitanya Marg, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India","Looters restaurant, c scheme,",-1,ChIJYdwl8YG1bTkRlnqYXGPQBUM,"{'compound_code': 'WQ5X+V4 Jaipur, Rajasthan', 'global_code': '7JRQWQ5X+V4'}",4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",412,{'open_now': True},restaurant,-1,-1,26.909691,75.797771
OPERATIONAL,"C 84, Prithviraj Rd, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",Culture Restaurant,-1,ChIJE68c_QS0bTkRiCPYmeEaUp8,"{'compound_code': 'WQ5X+W8 Ashok Nagar, Jaipur, Rajasthan', 'global_code': '7JRQWQ5X+W8'}",4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",604,{'open_now': True},restaurant,3,-1,26.9098278,75.798351
OPERATIONAL,"C-10, Opp WTP, Lal Bahadur Nagar, Jai Jawan Colony, Malviya Nagar, Jaipur, Rajasthan 302017, India",Celebration Restaurant jaipur,-1,ChIJXW8UdWO1bTkRk2MBw0Kj_wo,"{'compound_code': 'VR23+53 Malviya Nagar, Jaipur, Rajasthan', 'global_code': '7JRQVR23+53'}",4,"['restaurant', 'food', 'point_of_interest', 'establishment']",411,{'open_now': True},restaurant,2,-1,26.8504453,75.802729
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,rv_park,-1,0,,
CLOSED_TEMPORARILY,"Nandan Apartment, C-72(B), Sarojini Marg, C-Scheme, Panch Batti, Ashok, Nagar, Ja, Jaipur, Rajasthan 302001, India",Indo- Cosmétique et Trichologie,TRUE,ChIJ8X0XGKi2bTkR_4KxFDXEgzM,"{'compound_code': 'WR55+W2 Jaipur, Rajasthan', 'global_code': '7JRQWR55+W2'}",5,"['synagogue', 'place_of_worship', 'point_of_interest', 'establishment']",1,-1,synagogue,-1,-1,26.909757,75.807537
CLOSED_TEMPORARILY,"Shop No 3105, Bagrun Walo ka Rastha, Last Crossing, Chand Poll, Jaipur, Rajasthan 302001, India",Bajranj Bali Asscoits,TRUE,ChIJ7fboyQC0bTkRf6A85ZwApdo,-1,0,"['synagogue', 'place_of_worship', 'point_of_interest', 'establishment']",0,-1,synagogue,-1,-1,26.917892,75.801538
OPERATIONAL,"2/526, Malviya Nagar Rd, Sector 2, Malviya Nagar, Jaipur, Rajasthan 302017, India",Satguru Sai Foundation,-1,ChIJ0-A5Wg22bTkRh6Hj7a9XYPw,"{'compound_code': 'RRXC+46 Jaipur, Rajasthan', 'global_code': '7JRQRRXC+46'}",4.3,"['point_of_interest', 'establishment']",12,{'open_now': True},synagogue,-1,-1,26.84779,75.8205312
OPERATIONAL,"Devisinghpura, Amer, Jaipur, Rajasthan 302001, India",Amber Palace,-1,ChIJ-w3Sy1qwbTkRK34UR2ffIWI,"{'compound_code': 'XVP2+5G Amer, Jaipur, Rajasthan', 'global_code': '7JRQXVP2+5G'}",4.6,"['tourist_attraction', 'premise', 'point_of_interest', 'establishment']",93670,{'open_now': False},tourist_attraction,-1,-1,26.9854865,75.8513454
OPERATIONAL,"Hawa Mahal Rd, Badi Choupad, J.D.A. Market, Pink City, Jaipur, Rajasthan 302002, India",Hawa Mahal,-1,ChIJpQvTG0uxbTkRDLLMHlNdDoY,"{'compound_code': 'WRFG+HM Jaipur, Rajasthan', 'global_code': '7JRQWRFG+HM'}",4.4,"['tourist_attraction', 'premise', 'point_of_interest', 'establishment']",83706,{'open_now': False},tourist_attraction,-1,-1,26.9239363,75.8267438
OPERATIONAL,"Amer Rd, Jal Mahal, Amer, Jaipur, Rajasthan 302002, India",Jal Mahal,-1,ChIJlXJ26RuxbTkR0qsToxFP05c,"{'compound_code': 'XR3W+9F Jaipur, Rajasthan', 'global_code': '7JRQXR3W+9F'}",4.2,"['tourist_attraction', 'point_of_interest', 'establishment']",17949,{'open_now': True},tourist_attraction,-1,-1,26.953456,75.8462124
OPERATIONAL,"Tulsi Marg, Gangori Bazaar, J.D.A. Market, Pink City, Jaipur, Rajasthan 302002, India","City Palace, Jaipur",-1,ChIJwbAghgu0bTkRYHt9ATEVgEQ,"{'compound_code': 'WRGF+8F Jaipur, Rajasthan', 'global_code': '7JRQWRGF+8F'}",4.4,"['tourist_attraction', 'premise', 'museum', 'point_of_interest', 'establishment']",34674,{'open_now': False},tourist_attraction,-1,-1,26.9257713,75.8236581
OPERATIONAL,"Gangori Bazaar, J.D.A. Market, Pink City, Jaipur, Rajasthan 302002, India",Jantar Mantar - Jaipur,-1,ChIJaXD1f0yxbTkRvquNoSkESuk,"{'compound_code': 'WRFF+WR Pink City, Jaipur, Rajasthan', 'global_code': '7JRQWRFF+WR'}",4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",24408,{'open_now': False},tourist_attraction,-1,-1,26.924762,75.82456
OPERATIONAL,"Krishna Nagar, Brahampuri, Jaipur, Rajasthan 302002, India",Nahargarh Fort,-1,ChIJ0fNH81yxbTkRi56uF-amqgo,"{'compound_code': 'WRP8+W6 Brahampuri, Jaipur, Rajasthan', 'global_code': '7JRQWRP8+W6'}",4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",38834,{'open_now': True},tourist_attraction,-1,-1,26.9373127,75.8155259
OPERATIONAL,"Devisinghpura, Amer, Rajasthan 302028, India",Jaigarh Fort,-1,ChIJx0lfsbGxbTkRgVOhxJ7EGbw,"{'compound_code': 'XRPW+26 Amer, Jaipur, Rajasthan', 'global_code': '7JRQXRPW+26'}",4.5,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",21124,{'open_now': True},tourist_attraction,-1,-1,26.9850877,75.8455928
OPERATIONAL,"Museum Rd, Ram Niwas Garden, Kailash Puri, Adarsh Nagar, Jaipur, Rajasthan 302004, India",Albert Hall Museum,-1,ChIJXyn5OrC2bTkRaGk8EzNDuwU,"{'compound_code': 'WR69+JQ Adarsh Nagar, Jaipur, Rajasthan', 'global_code': '7JRQWR69+JQ'}",4.5,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",37679,{'open_now': True},tourist_attraction,-1,-1,26.9115755,75.8194875
OPERATIONAL,"Prithviraj Rd, Rambagh, Jaipur, Rajasthan 302007, India",Central Park,-1,ChIJV9GWIae2bTkR3tu5UFSOwk0,"{'compound_code': 'WR34+WW Rambagh, Jaipur, Rajasthan', 'global_code': '7JRQWR34+WW'}",4.6,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",16009,{'open_now': True},tourist_attraction,-1,-1,26.9047845,75.8072858
CLOSED_TEMPORARILY,"C-16, Bhagwan Das Rd, Panch Batti, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",Raj Mandir Cinema,TRUE,ChIJeSsYKBqzbTkRkOA72_U4lAw,"{'compound_code': 'WR86+53 Jaipur, Rajasthan', 'global_code': '7JRQWR86+53'}",4.5,"['movie_theater', 'tourist_attraction', 'point_of_interest', 'establishment']",29233,-1,tourist_attraction,-1,-1,26.9154985,75.8101639
OPERATIONAL,"plot no.74 ,2nd floor ahead akshardham mandir, Vaishali Nagar, Jaipur, Rajasthan 302021, India",The Dance Union,-1,ChIJM02m2pm0bTkRzl6a8MU4Kd8,"{'compound_code': 'WP2R+V6 Vaishali Nagar, Jaipur, Rajasthan', 'global_code': '7JRQWP2R+V6'}",4.7,"['hindu_temple', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",8013,{'open_now': True},tourist_attraction,-1,-1,26.9022189,75.7406225
OPERATIONAL,"Laxman Dungri, Natata Mode Delhi Road, Kunda, Jaipur, Rajasthan 302028, India",Khole Ke Hanuman Ji Temple,-1,ChIJPd5eDNW2bTkRRLivoMYzwak,"{'compound_code': 'WVM3+JH Jaipur, Rajasthan', 'global_code': '7JRQWVM3+JH'}",4.8,"['hindu_temple', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",7362,-1,tourist_attraction,-1,-1,26.9341049,75.8539884
CLOSED_TEMPORARILY,"Ghat Ki Guni, Jaipur, Rajasthan 302017, India",Vidyadhar Bagh,TRUE,ChIJq5wk2R-3bTkRLw-MpqvXGMg,"{'compound_code': 'VVX3+WC Jaipur, Rajasthan', 'global_code': '7JRQVVX3+WC'}",4.2,"['tourist_attraction', 'point_of_interest', 'establishment']",555,-1,tourist_attraction,-1,-1,26.8997912,75.853619
OPERATIONAL,"Agra Rd, Ghat Ki Guni, Jaipur, Rajasthan 302023, India",Sisodia Rani ka Bagh,-1,ChIJkzbjKhm3bTkRNiCT5-dA6vU,"{'compound_code': 'VVX5+QF Ghat Ki Guni, Jaipur, Rajasthan', 'global_code': '7JRQVVX5+QF'}",4.3,"['park', 'point_of_interest', 'establishment']",3052,{'open_now': True},tourist_attraction,-1,-1,26.8994218,75.8587309
OPERATIONAL,"Noor Building, S-34, MI Road, near indian Coffee house, Jaipur, Rajasthan 302001, India",Elefunenjoy| Elephant Sanctuary Jaipur,-1,ChIJFTu7a6y2bTkRqXNxQgc95sw,"{'compound_code': 'WR87+JH Jaipur, Rajasthan', 'global_code': '7JRQWR87+JH'}",5,"['tourist_attraction', 'car_rental', 'travel_agency', 'point_of_interest', 'establishment']",190,{'open_now': True},tourist_attraction,-1,-1,26.9165642,75.8139164
CLOSED_TEMPORARILY,"2, Jawaharlal Nehru Marg, Opp Commerce College, Jhalana Doongri, Jaipur, Rajasthan 302004, India",Jawahar Kala Kendra,TRUE,ChIJxVyo7oC2bTkRMJbp0SqUAdA,"{'compound_code': 'VRG5+GM Jaipur, Rajasthan', 'global_code': '7JRQVRG5+GM'}",4.6,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",8856,-1,tourist_attraction,-1,-1,26.8763612,75.8091692
OPERATIONAL,"309B, Mangala Rd, Bada Akhada, Krishna Nagar, Brahampuri, Jaipur, Rajasthan 302002, India",Gaitor Ki Chhatriyan,-1,ChIJxUfgi0GxbTkR5Vqeib76O00,"{'compound_code': 'WRVF+5V Brahampuri, Jaipur, Rajasthan', 'global_code': '7JRQWRVF+5V'}",4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",1511,{'open_now': True},tourist_attraction,-1,-1,26.9429931,75.8246384
CLOSED_TEMPORARILY,"S4, Tirthraj Apartment, Jacob Road, Civil Lines, Jaipur, Rajasthan 302006, India",Things to do in Jaipur,TRUE,ChIJvzp3pBi0bTkRcItQNNvqvRc,"{'compound_code': 'WQ6Q+4W Jaipur, Rajasthan', 'global_code': '7JRQWQ6Q+4W'}",4,"['travel_agency', 'point_of_interest', 'establishment']",32,-1,tourist_attraction,-1,-1,26.9103243,75.7898378
