,City,Link
0,Sri Krishna Janmabhoomi Temple,/uttar-pradesh/mathura/sri-krishna-janmabhoomi-temple
1,Dwarkadhish Temple,/uttar-pradesh/mathura/dwarkadhish-temple
2,Vishram Ghat,/uttar-pradesh/mathura/vishram-ghat
3,Birla Temple / Gita Mandir,/uttar-pradesh/mathura/birla-temple-gita-mandir
4,Kusum Sarovar,/uttar-pradesh/mathura/kusum-sarovar
5,Vrindavan,/uttar-pradesh/vrindavan
6,Government Museum / Mathura Museum,/uttar-pradesh/mathura/government-museum-mathura-museum
7,Barsana,/uttar-pradesh/mathura/barsana
