,City,Link
0,Chamera Lake,/himachal/dalhousie/chamera-lake
1,Khajjiar,/himachal/dalhousie/khajjiar
2,Panchpula,/himachal/dalhousie/panchpula
3,Dainkund Peak,/himachal/dalhousie/dainkund-peak
4,Ganji Pahari,/himachal/dalhousie/ganji-pahari
5,Kalatop Khajjiar Wildlife Sanctuary,/himachal/dalhousie/kalatop-khajjiar-wildlife-sanctuary
6,St. Patrick's Church,/himachal/dalhousie/st-patricks-church
