,City,Link
0,Mini-bus Safari - Bandipur,/karnataka/bandipur-national-park/mini-bus-safari-bandipur
1,Jeep Safari,/karnataka/bandipur-national-park/jeep-safari
2,Elephant Rides,/karnataka/bandipur-national-park/elephant-rides
3,Gopalaswamy Betta,/karnataka/bandipur-national-park/gopalaswamy-betta
4,"Mudumalai Wildlife Sanctuary, Near Ooty",/tamilnadu/ooty/mudumalai-wildlife-sanctuary
5,Ooty,/tamilnadu/ooty
6,Nature Walk,/karnataka/bandipur-national-park/nature-walk
